t,single,double,single,double
0.000000131,0.096324116,0.10185771,0.121937,0.15750986
0.000000131,0.08920949,0.09316206,0.106126,0.12984186
0.000000131,0.071027674,0.073399216,0.082411,0.11007902
0.000000132,0.059169963,0.063122533,0.074506,0.090316176
0.000000132,0.046521742,0.04810277,0.058696,0.078458458
0.000000132,0.038616605,0.040197633,0.046838,0.054743052
0.000000132,0.033083007,0.036245063,0.03498,0.050790489
0.000000132,0.02913044,0.02913044,0.031028,0.042885333
0.000000133,0.025177874,0.025177874,0.027075,0.027075082
0.000000133,0.020434789,0.021225303,0.01917,0.031027645
0.000000133,0.017272733,0.017272733,0.01917,0.027075082
0.000000133,0.015691705,0.016482219,0.015217,0.031027645
0.000000133,0.014110677,0.014901191,0.01917,0.027075082
0.000000134,0.013320163,0.012529649,0.007312,0.023122489
0.000000134,0.010948621,0.010948621,0.011265,0.027075082
0.000000134,0.010948621,0.011739135,0.011265,0.023122489
0.000000134,0.010158107,0.010948621,0.011265,0.023122489
0.000000134,0.008577079,0.008577079,0.011265,0.023122489
0.000000135,0.009367593,0.008577079,0.011265,0.011264801
0.000000135,0.008577079,0.009367593,0.007312,0.019169927
0.000000135,0.009367593,0.007786565,0.007312,0.015217364
0.000000135,0.006996051,0.008577079,0.007312,0.019169927
0.000000135,0.007786565,0.009367593,0.00336,0.027075082
0.000000136,0.008577079,0.008577079,0.007312,0.11403158
0.000000136,0.007786565,0.006996051,0.007312,0.23260868
0.000000136,0.006205536,0.007786565,0.00336,0.31166005
0.000000136,0.006996051,0.008577079,0.00336,0.31166005
0.000000136,0.006996051,0.007786565,0.00336,0.26422924
0.000000137,0.005415022,0.006996051,-0.00059,0.21679839
0.000000137,0.006205536,0.007786565,0.011265,0.17727271
0.000000137,0.005415022,0.006996051,0.007312,0.14565215
0.000000137,0.005415022,0.007786565,0.00336,0.1258893
0.000000137,0.006205536,0.009367593,-0.00059,0.10217389
0.000000138,0.006996051,0.008577079,-0.00059,0.078458458
0.000000138,0.006996051,0.008577079,-0.00059,0.06660077
0.000000138,0.006205536,0.006996051,0.00336,0.054743052
