t,ch1,ch2
1.29E-06,-0.22687747,0.022924902
1.29E-06,-0.0687747,0.015019763
1.29E-06,-0.22687747,0.015019763
1.30E-06,-0.54308301,0.015019763
1.30E-06,-0.22687747,0.015019763
1.30E-06,-0.22687747,0.022924902
1.30E-06,-0.22687747,0.015019763
1.30E-06,-0.38498023,0.022924902
1.30E-06,-0.22687747,0.046640318
1.30E-06,-0.0687747,0.022924902
1.30E-06,-0.22687747,0.007114625
1.30E-06,-0.38498023,0.015019763
1.30E-06,-0.22687747,0.015019763
1.31E-06,0.089328066,0.015019763
1.31E-06,-0.22687747,0.015019763
1.31E-06,-0.38498023,0.015019763
1.31E-06,-0.22687747,0.022924902
1.31E-06,-0.38498023,0.007114625
1.31E-06,-0.0687747,0.015019763
1.31E-06,-0.0687747,0.030830039
1.31E-06,-0.22687747,0.038735177
1.31E-06,0.089328066,0.022924902
1.31E-06,-0.22687747,-0.008695652
1.32E-06,-0.0687747,0.015019763
1.32E-06,-0.0687747,0.007114625
1.32E-06,-0.0687747,0.007114625
1.32E-06,-0.0687747,0.015019763
1.32E-06,-0.0687747,0.015019763
1.32E-06,0.089328066,0.015019763
1.32E-06,-0.0687747,-0.000790514
1.32E-06,-0.0687747,0.015019763
1.32E-06,0.089328066,0.038735177
1.32E-06,-0.22687747,0.038735177
1.33E-06,-0.0687747,0.007114625
1.33E-06,0.089328066,0.007114625
1.33E-06,-0.0687747,0.022924902
1.33E-06,-0.0687747,0.015019763
1.33E-06,0.089328066,0.015019763
1.33E-06,0.089328066,0.015019763
1.33E-06,-0.0687747,0.007114625
1.33E-06,-0.0687747,0.015019763
1.33E-06,-0.0687747,0.015019763
1.33E-06,-0.0687747,-0.000790514
1.34E-06,-0.22687747,0.038735177
1.34E-06,-0.0687747,0.030830039
1.34E-06,0.089328066,0.015019763
1.34E-06,0.089328066,-0.000790514
1.34E-06,-0.0687747,0.007114625
1.34E-06,-0.0687747,0.015019763
1.34E-06,0.089328066,0.007114625
1.34E-06,0.089328066,-0.000790514
1.34E-06,-0.0687747,0.007114625
1.34E-06,0.089328066,0.007114625
1.35E-06,0.089328066,0.015019763
1.35E-06,0.089328066,0.007114625
1.35E-06,0.089328066,0.046640318
1.35E-06,0.089328066,0.022924902
1.35E-06,-0.0687747,0.015019763
1.35E-06,0.24743083,-0.000790514
1.35E-06,0.24743083,0.015019763
1.35E-06,0.24743083,0.015019763
1.35E-06,-0.0687747,0.022924902
1.35E-06,0.089328066,0.015019763
1.36E-06,-0.0687747,0.007114625
1.36E-06,0.089328066,0.022924902
1.36E-06,0.089328066,0.015019763
1.36E-06,0.24743083,0.007114625
1.36E-06,0.24743083,0.046640318
1.36E-06,0.24743083,0.030830039
1.36E-06,0.089328066,-0.000790514
1.36E-06,0.089328066,-0.000790514
1.36E-06,0.089328066,0.007114625
1.36E-06,0.24743083,-0.000790514
1.37E-06,0.089328066,0.007114625
1.37E-06,0.24743083,0.007114625
1.37E-06,0.089328066,0.015019763
1.37E-06,0.089328066,0.015019763
1.37E-06,0.24743083,0.015019763
1.37E-06,0.56363636,0.007114625
1.37E-06,0.24743083,0.046640318
1.37E-06,0.40553358,0.030830039
1.37E-06,0.24743083,0.007114625
1.37E-06,0.24743083,0.015019763
1.38E-06,0.24743083,0.015019763
1.38E-06,0.24743083,0.022924902
1.38E-06,0.089328066,0.015019763
1.38E-06,0.40553358,0.007114625
1.38E-06,0.40553358,0.015019763
1.38E-06,0.24743083,0.015019763
1.38E-06,0.40553358,0.022924902
1.38E-06,0.089328066,0.030830039
1.38E-06,0.24743083,0.046640318
1.38E-06,-0.0687747,0.022924902
1.39E-06,-0.0687747,0.007114625
1.39E-06,0.40553358,0.022924902
1.39E-06,0.089328066,0.015019763
1.39E-06,0.089328066,0.015019763
1.39E-06,0.24743083,0.022924902
1.39E-06,0.089328066,0.015019763
1.39E-06,0.089328066,0.022924902
1.39E-06,0.089328066,0.007114625
1.39E-06,-0.0687747,0.007114625
1.39E-06,0.089328066,0.046640318
1.40E-06,-0.0687747,0.038735177
1.40E-06,-0.0687747,0.022924902
1.40E-06,0.089328066,0.007114625
1.40E-06,0.24743083,0.015019763
1.40E-06,0.24743083,0.015019763
1.40E-06,0.24743083,0.007114625
1.40E-06,-0.0687747,0.007114625
1.40E-06,0.089328066,0.007114625
1.40E-06,-0.22687747,0.015019763
1.40E-06,0.40553358,0.015019763
1.41E-06,0.089328066,0.015019763
1.41E-06,0.089328066,0.062450591
1.41E-06,0.40553358,0.030830039
1.41E-06,0.089328066,0.007114625
1.41E-06,0.089328066,-0.000790514
1.41E-06,0.24743083,-0.000790514
1.41E-06,0.24743083,0.015019763
1.41E-06,0.24743083,0.015019763
1.41E-06,0.40553358,-0.000790514
1.41E-06,0.24743083,-0.000790514
1.42E-06,0.24743083,-0.000790514
1.42E-06,0.089328066,0.007114625
1.42E-06,0.24743083,0.015019763
1.42E-06,-0.0687747,0.046640318
1.42E-06,0.089328066,0.015019763
1.42E-06,0.40553358,-0.000790514
1.42E-06,-0.0687747,-0.000790514
1.42E-06,0.089328066,-0.008695652
1.42E-06,-0.0687747,0.007114625
1.42E-06,-0.0687747,-0.000790514
1.43E-06,0.24743083,-0.000790514
1.43E-06,-0.0687747,-0.000790514
1.43E-06,0.089328066,-0.008695652
1.43E-06,0.24743083,0.007114625
1.43E-06,0.089328066,0.007114625
1.43E-06,0.24743083,0.030830039
1.43E-06,0.24743083,0.007114625
1.43E-06,-0.0687747,-0.008695652
1.43E-06,-0.0687747,-0.016600791
1.43E-06,0.089328066,0.007114625
1.44E-06,0.24743083,-0.000790514
1.44E-06,0.089328066,-0.000790514
1.44E-06,-0.0687747,-0.000790514
1.44E-06,0.56363636,-0.000790514
1.44E-06,0.24743083,-0.008695652
1.44E-06,0.24743083,-0.000790514
1.44E-06,0.089328066,0.015019763
1.44E-06,0.24743083,0.022924902
1.44E-06,0.24743083,0.007114625
1.44E-06,0.24743083,-0.000790514
1.45E-06,0.089328066,-0.008695652
1.45E-06,0.089328066,0.015019763
1.45E-06,0.24743083,-0.000790514
1.45E-06,0.24743083,-0.008695652
1.45E-06,0.089328066,-0.000790514
1.45E-06,0.089328066,0.007114625
1.45E-06,0.089328066,-0.008695652
1.45E-06,0.24743083,0.007114625
1.45E-06,0.089328066,0.038735177
1.45E-06,0.089328066,0.038735177
1.46E-06,0.089328066,0.007114625
1.46E-06,0.089328066,-0.000790514
1.46E-06,0.24743083,-0.000790514
1.46E-06,0.089328066,0.015019763
1.46E-06,-0.0687747,-0.000790514
1.46E-06,0.24743083,0.007114625
1.46E-06,0.24743083,-0.008695652
1.46E-06,0.089328066,-0.008695652
1.46E-06,0.24743083,-0.000790514
1.46E-06,0.24743083,-0.000790514
1.47E-06,0.089328066,0.046640318
